Timestamp,Start Point,End Point,Optimal Route,Number of Steps
2025-06-29 06:11:57,G,C,G -> C,1,5
2025-06-29 06:11:57,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:12:44,A,G,A -> B -> C -> G,3,15
2025-06-29 06:12:44,G,C,G -> C,1,5
2025-06-29 06:12:44,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:16,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:16,G,C,G -> C,1,5
2025-06-29 06:14:16,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:20,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:21,G,C,G -> C,1,5
2025-06-29 06:14:21,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:22,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:22,G,C,G -> C,1,5
2025-06-29 06:14:22,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:23,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:23,G,C,G -> C,1,5
2025-06-29 06:14:23,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:25,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:25,G,C,G -> C,1,5
2025-06-29 06:14:25,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:26,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:26,G,C,G -> C,1,5
2025-06-29 06:14:26,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:45,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:45,G,C,G -> C,1,5
2025-06-29 06:14:45,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:48,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:48,G,C,G -> C,1,5
2025-06-29 06:14:48,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:49,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:49,G,C,G -> C,1,5
2025-06-29 06:14:49,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:50,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:50,G,C,G -> C,1,5
2025-06-29 06:14:50,A,C,A -> B -> C -> G -> C,4,20
2025-06-29 06:14:51,A,G,A -> B -> C -> G,3,15
2025-06-29 06:14:52,G,C,G -> C,1,5
